"PlotID","Species","HeightClass","OMU","Count"
"C1030C","PIPJ","B","O","1"
"C1030T","NONE",NA,NA,NA
"C1031T","NONE",NA,NA,NA
"C1026C","ABCO","A","M","1"
"C1026C","PILA","B","O","1"
"C1026T","PILA","B","O","1"
"C1023C","NONE",NA,NA,NA
"C1023T","NONE",NA,NA,NA
"C1020C","NONE",NA,NA,NA
"C1020T","NONE",NA,NA,NA
"C1032T","NONE",NA,NA,NA
"C1032C","NONE",NA,NA,NA
"C1029T","NONE",NA,NA,NA
"C1029C","NONE",NA,NA,NA
"C1031C","NONE",NA,NA,NA
"C1040T","ABCO","B",NA,"4"
"A4013C","NONE",NA,NA,NA
"A4013T","NONE",NA,NA,NA
"A4060C","NONE",NA,NA,NA
"A4060T","NONE",NA,NA,NA
"A4014C","NONE",NA,NA,NA
"A4014T","NONE",NA,NA,NA
"A4022C","ABCO","B","M","1"
"A4022C","ABCO","A","U","1"
"A4022C","PSME","A","U","2"
"B1003T","PIPJ","B","U","1"
"B1003T","QUCH","B","U","1"
"B1018C","NONE",NA,NA,NA
"B1018T","NONE",NA,NA,NA
"B1016C","QUCH","B","M","1"
"B1016C","CADE","A","M","2"
"B1016C","CADE","B","M","1"
"D1000C","NONE",NA,NA,NA
"D1001T","NONE",NA,NA,NA
"D1001C","NONE",NA,NA,NA
"D1013C","NONE",NA,NA,NA
"D1018T","NONE",NA,NA,NA
"D1018C","NONE",NA,NA,NA
"D1013T","NONE",NA,NA,NA
"D1005T","NONE",NA,NA,NA
"D1005C","NONE",NA,NA,NA
"B1019C","QUCH","B","U","1"
"B1019T","NONE",NA,NA,NA
"B1014T","NONE",NA,NA,NA
"B1009T","NONE",NA,NA,NA
"D1010C","NONE",NA,NA,NA
"A4017C","ABCO","A","U","1"
"A4017T","NONE",NA,NA,NA
"A4025T","ABCO","B","U","2"
"A4025C","NONE",NA,NA,NA
"A4057C","NONE",NA,NA,NA
"A4057T","NONE",NA,NA,NA
"C2001C","PSME","B","M","9"
"C2001C","PSME","B","U","10"
"C2001C","PIPJ","B","O","6"
"C2001C","PIPJ","B","U","2"
"C2001C","PSME","A","U","1"
"C2001C","CADE","A","U","1"
"C2001C","ABCO","B","U","2"
"C2001C","PSME","B","O","15"
"C2001C","PIPJ","A","O","3"
"C2001C","PILA","B","U","1"
"C2001C","ABCO","B","M","1"
"C2001C","PIPJ","A","U","1"
"C2001C","PIPJ","B","M","2"
"C2001C","PSME","A","M","2"
"C2001C","PILA","A","U","1"
"C2001C","ABCO","B","O","2"
"C2001T","PIPJ","B","O","3"
"C2001T","PIPJ","B","U","1"
"C2001T","PIPJ","A","O","1"
"C2001T","PIPJ","A","U","1"
"C2006C","PILA","B","O","1"
"C2006C","PILA","B","U","1"
"C2006C","ABCO","B","U","1"
"C2006T","PIPJ","A","O","2"
"C2006T","UNKNOWNCONIFER","A","O","1"
"C2006T","PIPJ","B","O","2"
"C2006T","PIPJ","A","M","2"
"C2006T","PIPJ","B","M","1"
"C2006T","ABCO","B","U","1"
"A1147C","PSME","A","U","2"
"A4022T","CADE","A","U","1"
"A4022T","ABCO","B","U","11"
"A4022T","ABCO","A","U","3"
"A4022T","PSME","A","U","2"
"A4168C","ABCO","B","U","5"
"A4168C","ABCO","A","U","2"
"A4168C","PSME","B","U","1"
"A4168T","ABCO","B","U","3"
"A4168T","ABCO","A","U","1"
"A4172C","NONE",NA,NA,NA
"A4172T","NONE",NA,NA,NA
"A4176C","NONE",NA,NA,NA
"A4176T","NONE",NA,NA,NA
"A4177T","NONE",NA,NA,NA
"B1015C","NONE",NA,NA,NA
"B1015T","QUKE","A","M","2"
"D1017C","NONE",NA,NA,NA
"D1017T","ABCO","A","U","1"
"D1025C","NONE",NA,NA,NA
"D1025T","NONE",NA,NA,NA
"D1097C","NONE",NA,NA,NA
"D1006C","PIPJ","B","U","1"
"D1006T","NONE",NA,NA,NA
"D1008T","PIPJ","A","M","1"
"D1008T","ABMA","B","O","1"
"D1008T","PIPJ","U","U","1"
"D1009T","NONE",NA,NA,NA
"B1014T","NONE",NA,NA,NA
"B1009C","Pine","A","M","1"
"D1010T","ABCO","B","U","1"
"E0039I","NONE",NA,NA,NA
"E0046I","NONE",NA,NA,NA
"E0051I","NONE",NA,NA,NA
"E0049I","NONE",NA,NA,NA
"E0052I","NONE",NA,NA,NA
"E0043I","NONE",NA,NA,NA
"E0087C","NONE",NA,NA,NA
"E0090T","NONE",NA,NA,NA
"E0090C","ABCO","B","U","1"
"E0087T","NONE",NA,NA,NA
"E0078T","NONE",NA,NA,NA
"E0078C","NONE",NA,NA,NA
"E0072T","NONE",NA,NA,NA
"E0072C","ABCO","B","U","1"
"E2001I","NONE",NA,NA,NA
"E0063I","NONE",NA,NA,NA
"E0062I","NONE",NA,NA,NA
"E0060I","NONE",NA,NA,NA
"E0065I","NONE",NA,NA,NA
"E0066I","NONE",NA,NA,NA
"E0061I","NONE",NA,NA,NA
"E0055I","NONE",NA,NA,NA
"E0050I","NONE",NA,NA,NA
"E0064ID","NONE",NA,NA,NA
"E0068T","NONE",NA,NA,NA
"E0069T","NONE",NA,NA,NA
"E0069C","NONE",NA,NA,NA
"E0068C","NONE",NA,NA,NA
"E0045I","NONE",NA,NA,NA
"A1140C","NONE",NA,NA,NA
"A2025T","PSME","B","U","1"
"A2025C","PSME","A","U","1"
"A2026T","ABCO","A","U","1"
NA,"ABCO","B","U","2"
NA,"PSME","B","U","4"
"A2026C","NONE",NA,NA,NA
"A2029T","NONE",NA,NA,NA
"A2029C","NONE",NA,NA,NA
"A2030C","NONE",NA,NA,NA
"A2030T","PIPJ","A","M","1"
"A2031T","PSME","A","U","2"
"A2031C","NONE",NA,NA,NA
"A2035T","PIPJ","A","U","1"
"A2035T","ABCO","B","U","1"
"A2035T","ABCO","A","U","1"
"A2035T","PIPJ","B","U","1"
"A2035C","NONE",NA,NA,NA
"A2039T","NONE",NA,NA,NA
"A2039C","NONE",NA,NA,NA
"A2040T","NONE",NA,NA,NA
"A2040C","NONE",NA,NA,NA
"A2041T","ABCO","A","U","1"
"A2041T","PIPJ","A","U","1"
"A2041C","PIPJ","A","U","1"
"A4247C","PIPJ","B","U","1"
"A4245T","PSME","A","U","1"
"A4245C","NONE",NA,NA,NA
"A4205I","NONE",NA,NA,NA
"A4203I","NONE",NA,NA,NA
"A4204I","NONE",NA,NA,NA
"A4177C","NONE",NA,NA,NA
"A4249T","NONE",NA,NA,NA
"A4249C","NONE",NA,NA,NA
"B1026T","NONE",NA,NA,NA
"B1026C","NONE",NA,NA,NA
"B1023T","NONE",NA,NA,NA
"B1024T","NONE",NA,NA,NA
"B1024C","NONE",NA,NA,NA
"A1157T","CADE","A","U","11"
"A1157T","PSME","A","U","2"
"A1157T","FIR","A","U","6"
"A1157C","PSME","A","U","1"
"A1157C","FIR","A","M","1"
"A1157C","PIPJ","A","U","1"
"A1157C","CADE","A","U","5"
"A1157C","FIR","A","U","2"
"A1157C","PSME","B","O","1"
"A1096T","NONE",NA,NA,NA
"B1022T","NONE",NA,NA,NA
"B1004C","NONE",NA,NA,NA
"B1004T","NONE",NA,NA,NA
"B1025C","NONE",NA,NA,NA
"B1025T","NONE",NA,NA,NA
"B1022C","NONE",NA,NA,NA
"A1147C","PSME","B","M","1"
"A1147C","PSME","A","U","1"
"A1147C","PSME","A","U","1"
"A1041T","NONE",NA,NA,NA
"A4247T","ABCO","A","U","1"
"A4248C","ABCO","B","U","1"
"A4248C","CADE","B","U","1"
"A4248T","NONE",NA,NA,NA
"A4167C","CADE","A","U","1"
"A4167C","CADE","B","U","2"
"A4167C","ABCO","B","U","2"
"A4167T","NONE",NA,NA,NA
"A4012C","NONE",NA,NA,NA
"A4012T","NONE",NA,NA,NA
"B1002C","QUCH","B","M","1"
"B1002C","QUCH","A","M","1"
"B1002T","NONE",NA,NA,NA
"B1003C","QUCH","B","U","1"
"B1017C","NONE",NA,NA,NA
"B1017T","NONE",NA,NA,NA
"B1021C","PIPJ","A","U","1"
"B1021C","PIPJ","A","M","1"
"B1021C","CADE","A","U","4"
"B1021T","NONE",NA,NA,NA
"D1016T","NONE",NA,NA,NA
"D1016C","NONE",NA,NA,NA
"D1000T","NONE",NA,NA,NA
"D1092T","NONE",NA,NA,NA
"D1092C","NONE",NA,NA,NA
"D1099T","QUKE","B","M","1"
"B1007T","NONE",NA,NA,NA
"B1007C","NONE",NA,NA,NA
"B1008C","NONE",NA,NA,NA
"B1008T","NONE",NA,NA,NA
"D1011C","NONE",NA,NA,NA
"E0048I","NONE",NA,NA,NA
"C2010C","NONE",NA,NA,NA
"C2013T","ABCO","A","U","2"
"C2012T","NONE",NA,NA,NA
"C2011T","ABCO","B","U","2"
"C2011T","QUKE","B","M","1"
"E0059I","NONE",NA,NA,NA
"E0054I","NONE",NA,NA,NA
"B1016T","NONE",NA,NA,NA
"B1020C","NONE",NA,NA,NA
"B1020T","NONE",NA,NA,NA
"D1012T","NONE",NA,NA,NA
"D1012C","NONE",NA,NA,NA
"D1099C","NONE",NA,NA,NA
"D1007T","NONE",NA,NA,NA
"D1007C","NONE",NA,NA,NA
"D1097T","PIPJ","A","U","2"
"D1097T","ABCO","A","U","1"
"D1009C","NONE",NA,NA,NA
"D1008C","NONE",NA,NA,NA
"D1011T","NONE",NA,NA,NA
"D1100T","PIPJ","A","U","2"
"D1100C","NONE",NA,NA,NA
"E0047I","NONE",NA,NA,NA
"E0041I","NONE",NA,NA,NA
"E0040I","NONE",NA,NA,NA
"C2014T","NONE",NA,NA,NA
"C2014C","ABCO","A","U","1"
"C2015T","PILA","A","O","2"
"C2015C","PIPJ","B","O","1"
"C2011C","ABCO","A","O","1"
"C2011C","ABCO","B","O","1"
"C2012C","ABCO","B","M","1"
"C2012C","ABMA","B","M","1"
"C2013C","NONE",NA,NA,NA
"C2010T","NONE",NA,NA,NA
"C1040C","NONE",NA,NA,NA
"E0038I","NONE",NA,NA,NA
"E0032I","NONE",NA,NA,NA
