"PlotID","planted_ABCO","planted_CADE27","planted_PIJE","planted_PIPO","planted_PILA","planted_PSME","planted_ABMA","planted_SEGI2","planted_PIMO3"
"A1041C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1041T","no","no","no","yes","no","no","no","no","no"
"A1096C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1096T","no","yes","yes","yes","yes","yes","no","no","no"
"A1140C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1140T","no","no","no","yes","no","no","no","no","no"
"A1147C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1147T","no","no","planned","planned","planned","no","no","no","no"
"A1157C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1157T","no","no","planned","planned","planned","no","no","no","no"
"A2025C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2025T","no","no","no","yes","no","no","no","no","no"
"A2026C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2026T","no","no","no","yes","yes","no","no","no","no"
"A2029C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2029T","no","no","no","yes","no","no","no","no","no"
"A2030C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2030T","no","no","no","yes","no","no","no","no","no"
"A2031C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2031T","no","no","no","yes","no","no","no","no","no"
"A2035C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2035T","no","no","no","yes","no","no","no","no","no"
"A2039C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2039T","no","no","yes","planned","planned","no","no","no","no"
"A2040C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2040T","no","no","yes","planned","planned","no","no","no","no"
"A2041C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2041T","no","no","yes","planned","planned","no","no","no","no"
"A4012C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4012T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4013C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4013T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4014C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4014T","no","no","no","yes","no","no","no","no","no"
"A4017C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4017T","no","no","no","yes","no","no","no","no","no"
"A4022C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4022T","no","no","no","yes","no","no","no","no","no"
"A4025C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4025T","no","no","no","yes","no","no","no","no","no"
"A4057C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4057T","no","no","no","yes","no","no","no","no","no"
"A4060C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4060T","no","no","no","yes","no","no","no","no","no"
"A4167C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4167T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4168C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4168T","no","no","no","yes","no","no","no","no","no"
"A4172C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4172T","no","no","no","yes","no","no","no","no","no"
"A4176C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4176T","no","no","no","yes","no","no","no","no","no"
"A4177C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4177T","no","no","no","yes","no","no","no","no","no"
"A4203I","no","no","no","yes","no","no","no","no","no"
"A4204I","no","no","no","yes","no","no","no","no","no"
"A4205I","no","no","no","yes","no","no","no","no","no"
"A4245C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4245T","no","no","no","yes","no","no","no","no","no"
"A4247C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4247T","no","no","yes","yes","planned","no","no","no","no"
"A4248C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4248T","no","no","yes","yes","planned","no","no","no","no"
"A4249C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4249T","no","no","yes","planned","planned","no","no","no","no"
"B1002C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1002T","no","yes","no","yes","no","no","no","no","no"
"B1003C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1003T","no","yes","no","yes","no","no","no","no","no"
"B1004C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1004T","no","yes","no","yes","no","no","no","no","no"
"B1007C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1007T","yes","yes","no","yes","yes","no","no","no","no"
"B1008C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1008T","yes","yes","no","yes","yes","no","no","no","no"
"B1009C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1009T","no","yes","no","yes","no","no","no","no","no"
"B1014C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1014T","no","yes","no","yes","no","no","no","no","no"
"B1015C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1015T","yes","yes","no","yes","yes","no","no","no","no"
"B1016C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1016T","yes","yes","no","yes","yes","no","no","no","no"
"B1017C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1017T","yes","yes","no","yes","yes","no","no","no","no"
"B1018C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1018T","yes","yes","no","yes","yes","no","no","no","no"
"B1019C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1019T","yes","yes","no","yes","yes","no","no","no","no"
"B1020C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1020T","yes","yes","no","yes","yes","no","no","no","no"
"B1021C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1021T","no","yes","no","yes","no","no","no","no","no"
"B1022C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1022T","yes","no","no","yes","yes","no","no","no","no"
"B1023C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1023T","yes","no","no","yes","yes","no","no","no","no"
"B1024C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1024T","yes","no","no","yes","yes","no","no","no","no"
"B1025C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1025T","yes","no","no","yes","yes","no","no","no","no"
"B1026C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1026T","yes","no","no","yes","yes","no","no","no","no"
"C1020C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1020T","yes","yes","yes","yes","yes","yes","yes","yes","no"
"C1023C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1023T","yes","yes","yes","yes","yes","yes","yes","yes","no"
"C1026C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1026T","yes","yes","yes","yes","yes","yes","yes","yes","no"
"C1029C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1029T","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"C1030C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1030T","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"C1031C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1031T","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"C1032C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1032T","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"C1040C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1040T","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"C2001C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2001T","no","planned","no","yes","yes","yes","no","no","no"
"C2006C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2006T","no","planned","yes","yes","yes","yes","planned","no","planned"
"C2010C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2010T","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"C2011C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2011T","no","yes","yes","yes","yes","yes","planned","yes","planned"
"C2012C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2012T","no","yes","yes","yes","yes","yes","planned","yes","planned"
"C2013C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2013T","no","yes","yes","yes","yes","yes","planned","yes","planned"
"C2014C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2014T","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"C2015C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2015T","no","yes","yes","yes","yes","yes","planned","yes","planned"
"D1000C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1000T","no","no","planned","no","no","no","no","no","no"
"D1001C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1001T","no","no","planned","no","no","no","no","no","no"
"D1005C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1005T","yes","no","yes","no","no","no","no","no","no"
"D1006C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1006T","yes","no","yes","no","no","no","no","no","no"
"D1007C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1007T","yes","no","yes","no","no","no","no","no","no"
"D1008C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1008T","yes","no","yes","no","no","no","no","no","no"
"D1009C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1009T","yes","no","yes","no","no","no","no","no","no"
"D1010C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1010T","yes","no","yes","no","no","no","no","no","no"
"D1011C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1011T","yes","no","yes","no","no","no","no","no","no"
"D1012C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1012T","yes","no","yes","no","no","no","no","no","no"
"D1013C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1013T","planned","no","planned","no","no","no","no","no","no"
"D1016C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1016T","planned","no","planned","no","no","no","no","no","no"
"D1017C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1017T","planned","no","planned","no","no","no","no","no","no"
"D1018C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1018T","planned","no","planned","no","no","no","no","no","no"
"D1025C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1025T","no","no","planned","no","no","no","no","no","no"
"D1092C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1092T","no","no","planned","no","no","no","no","no","no"
"D1097C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1097T","planned","no","planned","no","no","no","no","no","no"
"D1099C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1099T","planned","no","planned","no","no","no","no","no","no"
"D1100C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1100T","no","no","planned","no","no","no","no","no","no"
"E0032I","yes","yes","yes","yes","yes","no","no","no","no"
"E0038I","yes","yes","yes","yes","yes","no","no","no","no"
"E0039I","yes","yes","yes","yes","yes","no","no","no","no"
"E0040I","yes","yes","yes","yes","yes","no","no","no","no"
"E0041I","yes","yes","yes","yes","yes","no","no","no","no"
"E0043I","yes","yes","yes","yes","yes","no","no","no","no"
"E0044I","yes","yes","yes","yes","yes","no","no","no","no"
"E0045I","yes","yes","yes","yes","yes","no","no","no","no"
"E0046I","yes","yes","yes","yes","yes","no","no","no","no"
"E0047I","yes","yes","yes","yes","yes","no","no","no","no"
"E0048I","yes","yes","yes","yes","yes","no","no","no","no"
"E0049I","yes","yes","yes","yes","yes","no","no","no","no"
"E0050I","yes","yes","yes","yes","yes","no","no","no","no"
"E0051I","yes","yes","yes","yes","yes","no","no","no","no"
"E0052I","yes","yes","yes","yes","yes","no","no","no","no"
"E0053I","yes","yes","yes","yes","yes","no","no","no","no"
"E0054I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0055I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0059I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0060I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0061I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0062I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0063I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0064I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0065I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0066I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0068C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0068T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0069C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0069T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0072C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0072T","yes","no","yes","yes","no","no","no","no","no"
"E0078C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0078T","yes","no","yes","yes","no","no","no","no","no"
"E0087C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0087T","yes","no","yes","yes","no","no","no","no","no"
"E0090C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0090T","yes","no","yes","yes","no","no","no","no","no"
"E2001I",NA,NA,NA,NA,NA,NA,NA,NA,NA
