Model,AIC,dAIC
Seedling Density = Topographic Position Index 5000 * Elevation + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Seed Source + Litter + Duff Depth,454.00,0.00
Seedling Density = Topographic Position Index 5000 + Elevation + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Seed Source + Litter + Duff Depth,455.30,1.30
Seedling Density = Topographic Position Index 5000 + Elevation + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Seed Source + Litter + Duff Depth,460.28,6.28
Seedling Density = Topographic Position Index 5000 + Elevation + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Seed Source + Litter + Duff Depth,460.28,6.28
Seedling Density = Topographic Position Index 5000 + Elevation + %Shrubs * Year Planted * Planting * Ave. Shrub Ht + Normal Annual Precipitation * Min. Annual Temp. + Seed Source + Litter + Duff Depth,458.27,4.27
Seedling Density = Topographic Position Index 5000 + Elevation + %Shrubs * Ave. Shrub Ht + scale(Shrubs) * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Seed Source + Litter + Duff Depth,454.16,0.17
Seedling Density = Topographic Position Index 5000 + Elevation + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Seed Source + Litter + Duff Depth,455.30,1.30
Seedling Density = Topographic Position Index 5000 + Elevation + %Grasses + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Seed Source + Litter + Duff Depth,454.37,0.37
Seedling Density = Topographic Position Index 5000 + Elevation + %Grasses + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Snowpack + Seed Source + Litter + Duff Depth,454.27,0.28
Seedling Density = Topographic Position Index 5000 * Slope + Elevation + %Grasses + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Snowpack + Seed Source + Litter + Duff Depth,454.45,0.45
Seedling Density = Topographic Position Index 5000 + Elevation * Slope + %Grasses + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Snowpack + Seed Source + Litter + Duff Depth,454.42,0.43
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Grasses + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Normal Annual Precipitation * Min. Annual Temp. + Snowpack + Seed Source + Litter + Duff Depth,452.45,-1.55
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Grasses + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Summer Solar Insolation + Normal Annual Precipitation * Min. Annual Temp. + Snowpack + Seed Source + Litter + Duff Depth + Coarse Woody Debris,452.99,-1.01
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Grasses + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Summer Solar Insolation + Normal Annual Precipitation * Min. Annual Temp. + Snowpack + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,452.70,-1.30
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs * Year Planted * Planting + Summer Solar Insolation + Normal Annual Precipitation * Min. Annual Temp. + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,456.09,2.10
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Summer Solar Insolation + Normal Annual Precipitation * Min. Annual Temp. + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,458.86,4.86
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory * fsplanted,489.06,35.07
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris * fsplanted + %Overstory,487.99,33.99
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth * fsplanted + Coarse Woody Debris + %Overstory,489.08,35.09
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source * fsplanted + Litter + Duff Depth + Coarse Woody Debris + %Overstory,488.35,34.35
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index * fsplanted + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,488.90,34.90
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack * fsplanted + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,488.66,34.66
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation * fsplanted + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,488.95,34.95
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. + Summer Solar Insolation * fsplanted + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,489.05,35.05
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. * fsplanted + Summer Solar Insolation * fsplanted + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,490.99,36.99
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. * fsplanted + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,488.99,35.00
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Released * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,487.16,33.17
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,487.09,33.09
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs * Planting + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.62,39.63
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht * Planting + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.19,39.20
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses * Planting + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.37,39.38
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb * Planting + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,492.97,38.97
Seedling Density = Topographic Position Index 5000 + Elevation + Slope * Planting + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.39,39.40
Seedling Density = Topographic Position Index 5000 + Elevation * Planting + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,492.10,38.10
Seedling Density = Topographic Position Index 5000 * Planting + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.44,39.45
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Duff Depth + Coarse Woody Debris + %Overstory,493.32,39.32
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter Depth + Coarse Woody Debris + %Overstory,497.59,43.59
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter Depth + Duff Depth + Coarse Woody Debris + %Overstory,492.50,38.51
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,491.74,37.74
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + scale(bcm_aet) + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,502.12,48.13
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,497.78,43.78
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Spring/Summer Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,497.85,43.85
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Spring Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.11,44.12
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Winter/Spring Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.19,44.20
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Max. Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.56,44.57
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.21,44.21
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Mean Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.89,44.89
Seedling Density = Topographic Position Index 500 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Mean Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,503.17,49.18
Seedling Density = Topographic Position Index 100 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Mean Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,503.52,49.52
