"","Fire","Type","ln.dens.planted","fire_year","normal_annual_precip","tmin","tmean","tmax","bcm_snowpack","rad_winter","rad_winter_spring","rad_spring","rad_spring_summer","rad_summer","aspect_dem","slope_dem","elev","tpi100","tpi500","tpi2000","tpi5000","twi","log10SeedWall","Forbs","Grasses","Shrubs","ShrubHt","CWD_sound","CWD_rotten","LitterDepth","DuffDepth","LitDuff","facts.planting.first.year"
"1","AmRiv","Maximum","8.84403238589194","2008","1816.52097282076","6.03840366738148","10.8150455131437","15.6151716345217","838.267282179863","5627.66660168443","6845.33971243769","8543.60264394997","9376.59631043575","9804.04254744704","351.963105621261","27.2264010548174","1997.11889659923","3.95892972711549","39.421024003656","182.902494089831","362.04398294378","10.2300557631992","2.57978359661681","5","5","100","160","5084","10183","4","2","4.875","2"
"2","AmRiv","Median","5.4077465379677","2008","1798.62648478605","4.33233664305358","9.26719759845156","14.1093105329297","660.630130786205","3470.9426396483","4624.29191219044","7033.73744026176","8933.75860616744","9567.65019284563","140.962541009589","18.7526874845022","1878.3727747272","0.367422842980466","0.726119586871695","34.2659383052645","139.647664783159","6.2980981439424","2.17868151530757","0.5","0.5","75","85.5","885.625","506.5","1.1875","0.375","1.625","1.5"
"3","AmRiv","Minimum","3.21847574484686","2008","1777.30370956227","4.06305795190292","8.63419161574769","13.2016948832758","350.780910205278","321.116531264649","949.856587964191","3682.28659845182","7184.61363510423","8661.71683443111","30.878530440928","10.6542794897865","1629.47119624884","-2.09649567703494","-35.2671300055317","-28.6304159608037","3.15127733926864","4.64167930835693","1.19033169817029","0","0","30","0","0","0","0.25","0","0.25","1"
"4","Ctnwd","Maximum","7.09501899429637","1994","886.333531197642","0.538736583212304","6.61486717529034","12.9133972404622","612.061165529176","3739.6541526251","4936.02026559975","7354.94029686607","9226.99957380099","9810.18252456109","298.077415024041","21.0585698884656","2423.31744187193","1.13481293777926","24.8276992797259","102.118705710467","175.696733698372","7.57236374576041","2.56229286445647","10","5","100","85","5409","1089","5","3.625","7.875","3"
"5","Ctnwd","Median","5.08565107601836","1994","862.865677683333","0.339667914643812","6.29781965483943","12.1710470576278","593.275747476257","3302.47558556326","4478.17813445226","6968.57392155853","9055.76722799741","9742.73588610149","260.194051641958","18.468596857681","2362.30809674365","0.247610672562208","8.47502197656802","11.8063099711968","44.3216817898795","6.536650904373","2.14674757173601","0.5","0.5","95","80","279","788","1.4375","0.875","2.3125","3"
"6","Ctnwd","Minimum","3.21847574484686","1994","847.49384866848","0.280135994998189","6.08339462720416","11.7832290838107","553.464452094282","2032.5671015905","3140.00368451174","5825.83607811332","8522.8156445989","9588.54459080998","243.766974651826","16.7247348528065","2248.06133730091","-0.160599682284527","-11.4147613856987","-42.0025840114622","-27.1475009415248","5.10317680653575","1.74585519517373","0","0.5","60","55","64","0","0.75","0.25","1.25","2"
"7","Fire","Type","Seedling Density","fire_year","Normal Annual Precipitation","Min. Annual Temp.","Mean Annual Temp.","Max. Annual Temp.","Snowpack","Winter Solar Insolation","Winter/Spring Solar Insolation","Spring Solar Insolation","Spring/Summer Solar Insolation","Summer Solar Insolation","Aspect","Slope","Elevation","Topographic Position Index 100","Topographic Position Index 500","Topographic Position Index 2000","Topographic Position Index 5000","Total Water Index","Seed Source","%Forb","%Grasses","%Shrubs","Ave. Shrub Ht","Coarse Woody Debris","Rotten Coarse Woody Debris","Litter Depth","Duff Depth","Litter + Duff Depth","Year Planted"
"8","MoonAnt","Maximum","6.1069930699651","2007","883.153838345268","2.86699063382364","9.65854711454539","16.9997001476645","440.824528485819","4700.42356245635","5897.12965764239","8015.88462916148","9315.25510389363","9914.6690145444","340.645738619777","29.0976882312775","1997.02255241276","2.8450240677534","32.5722363122688","133.061548152762","206.606502789728","10.6888155894079","2.55022835305509","20","70","100","240","12645","4225","6.5","5","8.75","3"
"9","MoonAnt","Median","3.21847574484686","2007","733.916810564549","2.2418030517675","8.72900225498319","15.105078132072","331.677497615114","2510.12008012719","3654.42592093144","6257.46214235878","8696.96134321973","9519.43006089648","242.202588595694","18.337591699478","1791.98448842844","0.332986320709043","2.94088425715984","-1.28967013928392","13.0468724115489","6.23280279235786","1.89011543838838","0.5","5","90","106","995.5","0","2.125","0.75","3","3"
"10","MoonAnt","Minimum","3.21847574484686","2007","614.473919543987","0.935701387069112","7.70448773058607","13.6444895725878","203.599807798823","489.111068806156","1256.75735380979","3971.76475295801","7286.43896570638","8837.03005701256","25.1723703029131","6.43194085919103","1407.26247162641","-3.71313475026647","-31.264936232589","-78.1188701472645","-166.929805900547","4.78930175674176","1.3541084391474","0","0","0.5","0","0","0","0.25","0","0.5","1"
"11","Piute","Maximum","6.68230944507656","2008","694.796490176357","3.05683736651881","9.54999548021267","16.0431533949382","181.322789481925","5867.19639634864","6772.19609248307","8460.50776650884","9437.03394902413","9873.22950104824","322.543603150876","31.8320386987783","2477.65232840301","1.83478334434233","34.9224720622384","131.150052754188","253.711458828554","10.7136340577162","2.49692964807321","60","90","100","160","8061","4096","3","3.75","4.5","3"
"12","Piute","Median","3.91064159527053","2008","660.902254836528","2.50248002266201","8.49656770524085","14.528291533078","149.409434811065","2744.90424041841","3846.48940091337","6433.46642776331","8827.0194079068","9474.94710844065","134.581633314535","19.3133236978087","2316.64238304179","0.111130145253632","8.02760401066281","21.4258775574656","60.5436562919495","6.04591411687224","1.7122284653342","0.5","2.75","70","60","1682.625","0","1","0.25","1.4375","2"
"13","Piute","Minimum","3.21847574484686","2008","434.537126853935","2.26066308151993","7.92628478398114","13.4807525421135","39.004697836796","757.907995478047","1706.51142164779","4503.51667513463","7530.85496210594","8711.57563559251","11.4031392369721","5.7495421410951","2104.77285165493","-2.53121335029965","-31.1476468924404","-43.3091696652821","-56.0145768752577","4.96204014410955","1.17609125905568","0","0","0.5","0","0","0","0.375","0","0.375","2"
"14","Power","Maximum","7.22388104254788","2004","1256.87130421308","5.69022891451457","13.5415423753927","21.3928554209598","87.2877539049571","5360.21945366365","6376.67271468324","8275.66253927379","9274.80047017256","9838.70382157771","328.051666725982","35.1887765527207","1735.3438348846","3.33606236197798","22.1696415255257","81.2803620556579","169.442109395281","8.26417200895158","2.6063813651106","40","60","100","350","17690","18449","9.25","4.5","11","3"
"15","Power","Median","3.91064159527053","2004","1174.35971033435","5.36438699263065","12.716234517062","20.068082125621","6.51113455491751","3937.62476651598","5132.92858848997","7343.25533552259","8963.15368517285","9300.38700712644","144.646001029581","22.4048606878413","1305.54479962674","0.510006228378837","2.90431798102112","-17.3404879978665","-79.9823685312612","6.54774093988476","2.16695527173649","0.5","5","80","75","729","412","2.25","1.3125","3.875","3"
"16","Power","Minimum","3.21847574484686","2004","1142.78946251268","4.67109089777191","10.9499701404509","17.2288495114517","0","889.954251509146","1795.86748622826","4338.69047439527","7316.04672835576","8517.91241717852","108.163909265419","6.83635957352896","1070.62942762149","-1.51630478602269","-23.7010348164494","-108.062781270899","-220.774700389094","5.34974712137022","1.20951501454263","0","0","5","0","0","0","0.375","0","0.375","3"
